Designator,Footprint,Quantity,Value,LCSC Part #
H1,MountingHole_4.3mm_M4_Pad,1,mounting pad,
"J1, J2",Molex_0039532135,2,Conn_01x13,
J10,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Conn_01x06,
J4,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J5,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,1,Conn_01x09,
J6,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
"J7, J8",PinHeader_1x10_P2.54mm_Vertical,2,Conn_01x10_Pin,
J9,PinHeader_1x01_P1.00mm_Vertical,1,Conn_01x01,
M1,MountingHole_6.4mm_M6,1,MountingHole_6.4mm_M6,
Q1,SOT-23,1,BSS138,
"R1, R2",0805,2,10K,
U1,ElitePi,1,Elite-Pi,
