Designator,Mid X,Mid Y,Rotation,Layer
C25,217.675,-92.3925,270.0,bottom
C35,217.675,-73.3425,270.0,bottom
C36,179.393,-82.8675,270.0,bottom
C46,198.625,-82.8675,270.0,bottom
C55,217.675,-54.2925,270.0,bottom
C56,198.625,-54.2925,270.0,bottom
D25,222.675,-78.9125,0.0,bottom
D35,222.675,-59.8625,0.0,bottom
D36,184.575,-69.3875,0.0,bottom
D46,203.625,-69.3875,0.0,bottom
D55,222.675,-40.8125,0.0,bottom
D56,203.625,-40.8125,0.0,bottom
J1,221.42297251739768,-32.8775949989221,291.231,top
LED25,222.675,-92.3925,0.0,bottom
LED35,222.675,-73.3425,0.0,bottom
LED36,184.575,-82.8675,0.0,bottom
LED46,203.625,-82.8675,0.0,bottom
LED55,222.675,-54.2925,0.0,bottom
LED56,203.625,-54.2925,0.0,bottom
MX25,222.675,-85.1475,0.0,top
MX35,222.675,-66.0975,0.0,top
MX36,184.575,-75.6225,0.0,top
MX46,203.625,-75.6225,0.0,top
MX55,222.675,-47.0475,0.0,top
MX56,203.625,-47.0475,0.0,top
