Designator,Mid X,Mid Y,Rotation,Layer
C65,220.425,-82.8675,270.0,bottom
C66,182.325,-92.3925,270.0,bottom
C75,201.375,-82.8675,270.0,bottom
C85,201.375,-54.2925,270.0,bottom
C86,182.325,-73.3425,270.0,bottom
C96,182.325,-54.2925,270.0,bottom
D65,225.425,-69.3875,0.0,bottom
D66,187.325,-78.9125,0.0,bottom
D75,206.375,-69.3875,0.0,bottom
D85,206.375,-40.8125,0.0,bottom
D86,187.325,-59.8625,0.0,bottom
D96,187.325,-40.8125,0.0,bottom
J1,188.57702675834443,-32.87759686317811,68.769,top
LED65,225.425,-82.8675,0.0,bottom
LED66,187.325,-92.3925,0.0,bottom
LED75,206.375,-82.8675,0.0,bottom
LED85,206.375,-54.2925,0.0,bottom
LED86,187.325,-73.3425,0.0,bottom
LED96,187.325,-54.2925,0.0,bottom
MX65,225.425,-75.6225,0.0,top
MX66,187.325,-85.1475,0.0,top
MX75,206.375,-75.6225,0.0,top
MX85,206.375,-47.0475,0.0,top
MX86,187.325,-66.0975,0.0,top
MX96,187.325,-47.0475,0.0,top
